src,src_port,dst,dst_port,protocol,occurrences
0.168.199.133,49671,192.168.199.134,445,TCP,1
0.168.199.134,445,192.168.199.1,51393,TCP,1
0.168.199.134,445,192.168.199.133,49671,TCP,1
0.168.199.134,445,192.168.199.135,49612,TCP,1
0.168.199.135,43690,192.168.199.134,43690,TCP,1
0.168.199.135,49612,192.168.199.134,445,TCP,1
0.37.0.135,49612,192.168.199.134,445,TCP,1
100.168.199.134,445,192.168.199.135,49612,TCP,1
100.168.199.135,49612,192.168.199.134,445,TCP,1
101.168.199.134,445,192.168.199.135,49612,TCP,1
101.168.199.135,49612,192.168.199.134,445,TCP,1
102.168.199.134,445,192.168.199.135,49612,TCP,1
102.168.199.135,49612,192.168.199.134,445,TCP,1
103.168.199.134,445,192.168.199.135,49612,TCP,1
103.168.199.135,49612,192.168.199.134,445,TCP,1
104.168.199.134,445,192.168.199.135,49612,TCP,1
104.168.199.135,49612,192.168.199.134,445,TCP,1
105.168.199.134,445,192.168.199.135,49612,TCP,1
105.168.199.135,49612,192.168.199.134,445,TCP,1
106.168.199.134,445,192.168.199.135,49612,TCP,1
106.168.199.135,49612,192.168.199.134,445,TCP,1
107.168.199.134,445,192.168.199.135,49612,TCP,1
107.168.199.135,49612,192.168.199.134,445,TCP,1
108.168.199.134,445,192.168.199.135,49612,TCP,1
108.168.199.135,49612,192.168.199.134,445,TCP,1
109.168.199.134,445,192.168.199.135,49612,TCP,1
109.168.199.135,49612,192.168.199.134,445,TCP,1
110.168.199.134,445,192.168.199.135,49612,TCP,1
110.168.199.135,49612,192.168.199.134,445,TCP,1
111.168.199.134,445,192.168.199.135,49612,TCP,1
111.168.199.135,49612,192.168.199.134,445,TCP,1
112.168.199.134,445,192.168.199.135,49612,TCP,1
112.168.199.135,49612,192.168.199.134,445,TCP,1
113.168.199.134,445,192.168.199.135,49612,TCP,1
113.168.199.135,49612,192.168.199.134,445,TCP,1
114.168.199.134,445,192.168.199.135,49612,TCP,1
114.168.199.135,49612,192.168.199.134,445,TCP,1
115.168.199.134,445,192.168.199.135,49612,TCP,1
115.168.199.135,49612,192.168.199.134,445,TCP,1
116.168.199.134,445,192.168.199.135,49612,TCP,1
116.168.199.135,49612,192.168.199.134,445,TCP,1
117.168.199.134,445,192.168.199.135,49612,TCP,1
117.168.199.135,49612,192.168.199.134,445,TCP,1
118.168.199.134,445,192.168.199.135,49612,TCP,1
118.168.199.135,49612,192.168.199.134,445,TCP,1
119.168.199.134,445,192.168.199.135,49612,TCP,1
119.168.199.135,49612,192.168.199.134,445,TCP,1
12.168.199.135,49612,192.168.199.134,445,TCP,1
120.168.199.134,445,192.168.199.135,49612,TCP,1
120.168.199.135,49612,192.168.199.134,445,TCP,1
121.168.199.134,445,192.168.199.135,49612,TCP,1
121.168.199.135,49612,192.168.199.134,445,TCP,1
122.168.199.134,445,192.168.199.135,49612,TCP,1
122.168.199.135,49612,192.168.199.134,445,TCP,1
