src,src_port,dst,dst_port,protocol,start,end,duration,packets,bytes,occurrence_id
192.168.199.135,49612,192.168.199.134,317,TCP,1476813375.135792,1476813375.135792,0.000000,1,66,1
192.168.199.135,49612,192.168.199.134,317,TCP,1476813966.839854,1476814008.122178,41.282324,54,6318,2
192.168.199.134,445,192.168.199.135,49612,TCP,1476813375.135989,1476813376.2358,1.099811,6,948,1
192.168.199.134,445,192.168.199.135,49612,TCP,1476813496.346395,1476813564.28878,67.942385,85,11288,2
192.168.199.134,445,192.168.199.135,49612,TCP,1476813767.974785,1476813768.592316,0.617531,5,628,3
192.168.199.134,445,192.168.199.135,49612,TCP,1476813888.734161,1476813900.540547,11.806386,14,1771,4
192.168.199.134,445,192.168.199.135,49612,TCP,1476813966.707157,1476814013.031708,46.324551,67702,6296477,5
192.168.199.135,49612,192.168.199.134,445,TCP,1476813375.136113,1476813376.441371,1.305258,6,1539,1
192.168.199.135,49612,192.168.199.134,445,TCP,1476813500.841535,1476813564.288594,63.447059,98,14070,2
192.168.199.135,49612,192.168.199.134,445,TCP,1476813767.974455,1476813768.592163,0.617708,10,1712,3
192.168.199.135,49612,192.168.199.134,445,TCP,1476813891.390933,1476813900.746421,9.355488,19,2448,4
192.168.199.135,49612,192.168.199.134,445,TCP,1476813966.707615,1476814013.253248,46.545633,67155,7856409,5
192.168.199.135,49612,192.168.37.0,445,TCP,1476813375.137479,1476813375.137479,0.000000,1,162,1
192.168.199.135,49612,192.168.37.0,445,TCP,1476813966.993903,1476814009.704356,42.710453,141,16497,2
192.168.199.135,49612,192.168.199.150,445,TCP,1476813376.233647,1476813376.233647,0.000000,1,162,1
192.168.199.135,49612,192.168.199.150,445,TCP,1476813523.812163,1476813523.812163,0.000000,1,99,2
192.168.199.135,49612,192.168.199.150,445,TCP,1476813969.060528,1476814009.317009,40.256481,44,5148,3
192.168.199.135,49612,192.168.199.161,445,TCP,1476813376.235354,1476813376.235354,0.000000,1,156,1
192.168.199.133,49671,192.168.199.134,445,TCP,1476813381.496873,1476813397.66246,16.165587,12,1642,1
192.168.199.133,49671,192.168.199.134,445,TCP,1476813637.568524,1476813759.116668,121.548144,232,34865,2
