src,src_port,dst,dst_port,protocol,start,end,duration,packets,bytes,occurrence_id
192.168.199.135,49612,192.168.199.134,317,TCP,1476813966.839854,1476814008.122178,41.282324,54,6318,2
192.168.199.134,445,192.168.199.135,49612,TCP,1476813375.135989,1476813376.2358,1.099811,6,948,1
192.168.199.134,445,192.168.199.135,49612,TCP,1476813496.346395,1476813564.28878,67.942385,85,11288,2
192.168.199.134,445,192.168.199.135,49612,TCP,1476813767.974785,1476813768.592316,0.617531,5,628,3
192.168.199.134,445,192.168.199.135,49612,TCP,1476813888.734161,1476813900.540547,11.806386,14,1771,4
192.168.199.135,49612,192.168.199.134,445,TCP,1476813375.136113,1476813376.441371,1.305258,6,1539,1
192.168.199.135,49612,192.168.199.134,445,TCP,1476813500.841535,1476813564.288594,63.447059,98,14070,2
192.168.199.135,49612,192.168.199.134,445,TCP,1476813767.974455,1476813768.592163,0.617708,10,1712,3
192.168.199.135,49612,192.168.199.134,445,TCP,1476813891.390933,1476813900.746421,9.355488,19,2448,4
192.168.199.135,49612,192.168.37.0,445,TCP,1476813966.993903,1476814009.704356,42.710453,141,16497,2
192.168.199.135,49612,192.168.199.150,445,TCP,1476813969.060528,1476814009.317009,40.256481,44,5148,3
192.168.199.133,49671,192.168.199.134,445,TCP,1476813381.496873,1476813397.66246,16.165587,12,1642,1
192.168.199.133,49671,192.168.199.134,445,TCP,1476813637.568524,1476813759.116668,121.548144,232,34865,2
192.168.199.133,49671,192.168.199.134,445,TCP,1476813827.078305,1476813837.913666,10.835361,7,959,3
192.168.199.133,49671,192.168.199.134,445,TCP,1476813909.286436,1476813982.460993,73.174557,2484,284243,4
192.168.199.134,445,192.168.199.133,49671,TCP,1476813381.497939,1476813383.238242,1.740303,10,1335,1
192.168.199.134,445,192.168.199.133,49671,TCP,1476813637.56835,1476813759.065452,121.497102,217,32957,3
192.168.199.134,445,192.168.199.133,49671,TCP,1476813827.079274,1476813837.851529,10.772255,7,1012,4
192.168.199.134,445,192.168.199.133,49671,TCP,1476813909.285563,1476813982.405987,73.120424,2339,280223,5
192.168.231.134,445,192.168.199.133,49671,TCP,1476813934.444816,1476813948.447234,14.002418,3,341,2
170.170.170.170,43690,170.170.170.170,43690,TCP,1476813453.378536,1476813453.962662,0.584126,2,323,2
170.170.170.170,43690,170.170.170.170,43690,TCP,1476813516.777951,1476813694.993672,178.215721,11,1587,3
170.170.170.170,43690,170.170.170.170,43690,TCP,1476813870.645571,1476814010.509257,139.863686,574,60330,4
192.168.199.133,63950,192.168.199.1,53,UDP,1476813383.174311,1476813384.164825,0.990514,2,168,1
192.168.199.1,51393,192.168.199.134,445,TCP,1476813392.38408,1476813517.861262,125.477182,294,41040,1
192.168.199.1,51393,192.168.199.134,445,TCP,1476813598.642837,1476813669.060174,70.417337,245,35736,2
192.168.199.1,51393,192.168.199.134,445,TCP,1476813870.246666,1476813948.581608,78.334942,145,19580,4
192.168.199.134,445,192.168.199.1,51393,TCP,1476813392.384285,1476813517.817509,125.433224,263,39458,1
192.168.199.134,445,192.168.199.1,51393,TCP,1476813598.64237,1476813669.000139,70.357769,229,33039,2
192.168.199.134,445,192.168.199.1,51393,TCP,1476813870.247182,1476813943.62755,73.380368,136,19414,4
192.168.199.135,63594,192.168.199.1,53,UDP,1476813394.05363,1476813402.103606,8.049976,4,340,1
192.168.199.133,49671,192.168.199.134,444,TCP,1476813930.198697,1476813946.25967,16.060973,4,504,2
192.168.199.133,61638,192.168.199.1,53,UDP,1476813404.61695,1476813412.647339,8.030389,5,360,1
