src_fi,dst_fi,src_port_fi,dst_port_fi,protocol_fi,src_fj,dst_fj,src_port_fj,dst_port_fj,protocol_fj,Ni,Nj,Tij,S_dep
192.168.199.1,192.37.0.134,51393,445,TCP,192.168.199.1,192.168.199.134,52417,445,TCP,1,1,1,1.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.150,49671,445,TCP,1,1,4,4.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49671,4541,TCP,1,1,6,6.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.37,7,445,TCP,1,1,5,5.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49671,293,TCP,1,1,11,11.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49671,338,TCP,1,1,12,12.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,22535,445,TCP,1,1,7,7.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49671,429,TCP,1,1,5,5.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49667,445,TCP,1,1,27,27.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49671,444,TCP,1,1,6,6.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.37.0,49671,445,TCP,1,1,12,12.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,200.168.199.134,49671,445,TCP,1,1,7,7.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.160.199.134,49671,445,TCP,1,1,8,8.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.215.134,49671,445,TCP,1,1,2,2.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.231.134,49671,445,TCP,1,1,22,22.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49671,509,TCP,1,1,6,6.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,53767,445,TCP,1,1,17,17.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49716,445,TCP,1,1,5,5.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.170.170.170,43690,43690,TCP,1,1,9,9.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,43690,43690,TCP,1,1,10,10.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,208.168.199.134,49671,445,TCP,1,1,1,1.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49671,189,TCP,1,1,10,10.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49806,445,TCP,1,1,14,14.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,59399,445,TCP,1,1,6,6.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,30471,445,TCP,1,1,4,4.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49671,60605,TCP,1,1,7,7.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49679,445,TCP,1,1,14,14.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49671,27325,TCP,1,1,4,4.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.135,49671,445,TCP,1,1,6,6.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.79,49671,445,TCP,1,1,10,10.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49671,441,TCP,1,1,1,1.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,0,0,TCP,1,1,7,7.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49834,43690,TCP,1,1,13,13.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.199.134,49671,354,TCP,1,1,6,6.0
192.168.199.133,192.168.199.150,49671,445,TCP,192.168.199.133,192.168.198.134,49671,445,TCP,1,1,4,4.0
